"run_folder","adc_file","time_file","gas_label","source_type"
"F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_LowHigh concentrastions\UV ink-exposed to Toluene and 2 butanone","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_LowHigh concentrastions\UV ink-exposed to Toluene and 2 butanone\dataset1-ADC.txt","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_LowHigh concentrastions\UV ink-exposed to Toluene and 2 butanone\dataset1-time.txt","mixture_toluene_2butanone","uv_ink"
"F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_LowHigh concentrastions\ZIF 8 ink-exposed to Toluene and 2 butanone - Copy","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_LowHigh concentrastions\ZIF 8 ink-exposed to Toluene and 2 butanone - Copy\dataset1-ADC.txt","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_LowHigh concentrastions\ZIF 8 ink-exposed to Toluene and 2 butanone - Copy\dataset1-time.txt","mixture_toluene_2butanone","zif8"
"F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\UV ink-exposed to Toluene and 2 butanone\1","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\UV ink-exposed to Toluene and 2 butanone\1\dataset1-ADC.txt","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\UV ink-exposed to Toluene and 2 butanone\1\dataset1-time.txt","mixture_toluene_2butanone","uv_ink"
"F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\UV ink-exposed to Toluene and 2 butanone\2","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\UV ink-exposed to Toluene and 2 butanone\2\dataset1-ADC.txt","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\UV ink-exposed to Toluene and 2 butanone\2\dataset1-time.txt","mixture_toluene_2butanone","uv_ink"
"F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\UV ink-exposed to Toluene and 2 butanone\3","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\UV ink-exposed to Toluene and 2 butanone\3\dataset1-ADC.txt","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\UV ink-exposed to Toluene and 2 butanone\3\dataset1-time.txt","mixture_toluene_2butanone","uv_ink"
"F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\ZIF 8 ink-exposed to Toluene and 2 butanone - Copy\1","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\ZIF 8 ink-exposed to Toluene and 2 butanone - Copy\1\dataset1-ADC.txt","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\ZIF 8 ink-exposed to Toluene and 2 butanone - Copy\1\dataset1-time.txt","mixture_toluene_2butanone","zif8"
"F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\ZIF 8 ink-exposed to Toluene and 2 butanone - Copy\2","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\ZIF 8 ink-exposed to Toluene and 2 butanone - Copy\2\dataset1-ADC.txt","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\ZIF 8 ink-exposed to Toluene and 2 butanone - Copy\2\dataset1-time.txt","mixture_toluene_2butanone","zif8"
"F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\ZIF 8 ink-exposed to Toluene and 2 butanone - Copy\3","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\ZIF 8 ink-exposed to Toluene and 2 butanone - Copy\3\dataset1-ADC.txt","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\Mixing_SAME CONCENTRASTIONS\ZIF 8 ink-exposed to Toluene and 2 butanone - Copy\3\dataset1-time.txt","mixture_toluene_2butanone","zif8"
"F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\UV ink - 2-butanone\1","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\UV ink - 2-butanone\1\dataset1-ADC.txt","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\UV ink - 2-butanone\1\dataset1-time.txt","2-butanone","uv_ink"
"F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\UV ink - 2-butanone\2","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\UV ink - 2-butanone\2\dataset1-ADC.txt","F:\DataOps_GroupProject\OBSERVED_CMOS_VOC_MLOPS\data\raw\CMOS_addtional_datasets\UV ink - 2-butanone\2\dataset1-time.txt","2-butanone","uv_ink"
